Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.07    0.00 27462353/3307266707     MkLiuSPH::Run() [1]
                0.07    0.00 31061558/3307266707     MkLiuSPH::Single_Step() [3]
                0.37    0.00 156962962/3307266707     MkLiuSPH::Art_Visc() [11]
                0.97    0.00 404464719/3307266707     MkLiuSPH::Int_Force() [8]
                2.53    0.00 1061196761/3307266707     MkLiuSPH::Direct_Find() [4]
                3.73    0.00 1560299760/3307266707     MkLiuSPH::Pair_Count() [7]
[6]     19.5    7.90    0.00 3307266707         MkLiuParticles::operator[](int) [6]
-----------------------------------------------
                3.95    3.73    2001/2001        MkLiuSPH::Direct_Find() [4]
[7]     19.0    3.95    3.73    2001         MkLiuSPH::Pair_Count() [7]
                3.73    0.00 1560299760/3307266707     MkLiuParticles::operator[](int) [6]
-----------------------------------------------
                2.06    2.16    2001/2001        MkLiuSPH::Single_Step() [3]
[8]     10.4    2.06    2.16    2001         MkLiuSPH::Int_Force() [8]
                0.97    0.00 404464719/3307266707     MkLiuParticles::operator[](int) [6]
                0.61    0.00 304608977/306053169     MkDouble::operator()(int) [12]
                0.29    0.00 147612836/235666249     MkLiuPairs::operator[](int) [14]
                0.28    0.00 130246620/137135148     MkLiuPair::DWDX(int) [16]
                0.01    0.00   16008/22013       MkDouble::MkDouble(int) [43]
                0.00    0.00  722361/722361      MkLiuSPH::P_art_water(double) [77]
                0.00    0.00  722361/722361      MkLiuSPH::C_art_water(double) [76]
                0.00    0.00   16008/24024       MkDouble::~MkDouble() [87]
-----------------------------------------------
                0.00    0.00       1/137978342     MkLiuSPH::Initialize(int, int, int, int, int) [69]
                0.00    0.00       1/137978342     MkLiuSPH::Calc_Bnd_Norm() [53]
                0.00    0.00       1/137978342     MkLiuSPH::Calc_Norm() [52]
                0.00    0.01  722361/137978342     MkLiuSPH::Norm_Bnd_Density() [15]
                0.02    0.04 2889444/137978342     MkLiuSPH::Direct_Bnd_Find() [13]
                0.03    0.06 4341554/137978342     MkLiuSPH::Art_Visc() [11]
                0.81    1.69 130024980/137978342     MkLiuSPH::Direct_Find() [4]
[9]      6.5    0.86    1.79 137978342         MkLiuKernel::SetSmoothLen(double) [9]
                1.79    0.00 137978342/137978343     MkLiuKernel::SetupAlphaD() [10]
-----------------------------------------------
                0.00    0.00       1/137978343     MkLiuKernel::SetDim(int) [70]
                1.79    0.00 137978342/137978343     MkLiuKernel::SetSmoothLen(double) [9]
[10]     4.4    1.79    0.00 137978343         MkLiuKernel::SetupAlphaD() [10]
-----------------------------------------------
                0.58    0.50    2001/2001        MkLiuSPH::Single_Step() [3]
[11]     2.7    0.58    0.50    2001         MkLiuSPH::Art_Visc() [11]
                0.37    0.00 156962962/3307266707     MkLiuParticles::operator[](int) [6]
                0.03    0.06 4341554/137978342     MkLiuKernel::SetSmoothLen(double) [9]
                0.03    0.00 15571636/235666249     MkLiuPairs::operator[](int) [14]
                0.01    0.00 6888528/137135148     MkLiuPair::DWDX(int) [16]
-----------------------------------------------
                0.00    0.00      24/306053169     MkVector::MkVector(double, double, double) [68]
                0.00    0.00      36/306053169     MkVector::Cross(MkVector&, MkVector&) [66]
                0.00    0.00      36/306053169     MkVector::operator()(int) [67]
                0.00    0.00      96/306053169     MkVector::Unify() [65]
                0.00    0.00 1444000/306053169     MkLiuSPH::Run() [1]
                0.61    0.00 304608977/306053169     MkLiuSPH::Int_Force() [8]
[12]     1.5    0.61    0.00 306053169         MkDouble::operator()(int) [12]
-----------------------------------------------
                0.09    0.51    2001/2001        MkLiuSPH::Single_Step() [3]
[13]     1.5    0.09    0.51    2001         MkLiuSPH::Direct_Bnd_Find() [13]
                0.05    0.09    2001/2001        MkLiuSPH::Pair_Bnd_Count() [21]
                0.01    0.08 2889444/3090564     MkPlane::GetNearestPoint(MkPoint&) [29]
                0.06    0.00 2889444/9070572     MkPlane::GetDistance(MkPoint&) [19]
                0.02    0.04 2889444/137978342     MkLiuKernel::SetSmoothLen(double) [9]
